rec,date,time,bar,close,high,low,f1,f2,f3
L,1260803,200,62,65.89,66.50,65.05,L,3,72.3333
L,1260803,300,63,65.66,65.90,65.39,U,0,66.4755
L,1260803,300,63,65.66,65.90,65.39,U,1,64.0300
L,1260803,300,63,65.66,65.90,65.39,U,2,62.2400
L,1260803,300,63,65.66,65.90,65.39,L,0,65.0476
L,1260803,300,63,65.66,65.90,65.39,L,1,71.8129
L,1260803,300,63,65.66,65.90,65.39,L,2,76.4020
L,1260803,300,63,65.66,65.90,65.39,L,3,72.7900
L,1260803,400,64,65.52,65.67,65.18,U,0,66.4509
L,1260803,400,64,65.52,65.67,65.18,U,1,63.8017
L,1260803,400,64,65.52,65.67,65.18,U,2,61.8625
L,1260803,400,64,65.52,65.67,65.18,L,0,65.2892
L,1260803,400,64,65.52,65.67,65.18,L,1,72.2424
L,1260803,400,64,65.52,65.67,65.18,L,2,76.9590
L,1260803,400,64,65.52,65.67,65.18,L,3,73.2467
L,1260803,500,65,64.70,65.56,64.60,U,0,66.4264
L,1260803,500,65,64.70,65.56,64.60,U,1,63.5733
L,1260803,500,65,64.70,65.56,64.60,U,2,61.4850
L,1260803,500,65,64.70,65.56,64.60,L,0,65.5308
L,1260803,500,65,64.70,65.56,64.60,L,1,72.6719
L,1260803,500,65,64.70,65.56,64.60,L,2,77.5160
L,1260803,500,65,64.70,65.56,64.60,L,3,73.7033
L,1260803,600,66,65.00,65.18,64.46,U,0,66.4018
L,1260803,600,66,65.00,65.18,64.46,U,1,63.3450
L,1260803,600,66,65.00,65.18,64.46,U,2,61.1075
L,1260803,600,66,65.00,65.18,64.46,L,0,65.7724
L,1260803,600,66,65.00,65.18,64.46,L,1,73.1014
L,1260803,600,66,65.00,65.18,64.46,L,2,78.0730
L,1260803,600,66,65.00,65.18,64.46,L,3,74.1600
L,1260803,700,67,66.09,66.09,63.99,U,0,66.3773
L,1260803,700,67,66.09,66.09,63.99,U,1,63.1167
L,1260803,700,67,66.09,66.09,63.99,U,2,60.7300
L,1260803,700,67,66.09,66.09,63.99,L,0,66.0140
L,1260803,700,67,66.09,66.09,63.99,L,1,73.5310
L,1260803,700,67,66.09,66.09,63.99,L,2,78.6300
L,1260803,700,67,66.09,66.09,63.99,L,3,74.6167
L,1260803,800,68,67.28,67.30,65.45,U,0,66.3527
L,1260803,800,68,67.28,67.30,65.45,U,1,62.8883
L,1260803,800,68,67.28,67.30,65.45,U,2,60.3525
L,1260803,800,68,67.28,67.30,65.45,L,0,64.1810
L,1260803,800,68,67.28,67.30,65.45,L,1,66.2556
L,1260803,800,68,67.28,67.30,65.45,L,2,73.9605
L,1260803,800,68,67.28,67.30,65.45,L,3,79.1870
L,1260803,800,68,67.28,67.30,65.45,L,4,75.0733
L,1260803,900,69,67.23,67.37,66.75,U,0,66.3282
L,1260803,900,69,67.23,67.37,66.75,U,1,62.6600
L,1260803,900,69,67.23,67.37,66.75,U,2,59.9750
L,1260803,900,69,67.23,67.37,66.75,L,0,64.3720
L,1260803,900,69,67.23,67.37,66.75,L,1,66.4972
L,1260803,900,69,67.23,67.37,66.75,L,2,74.3900
L,1260803,900,69,67.23,67.37,66.75,L,3,79.7440
L,1260803,900,69,67.23,67.37,66.75,L,4,75.5300
X,1260803,900,69,67.23,67.37,66.75,66.3438
L,1260803,1000,70,67.42,67.60,67.22,U,0,66.3036
