FanMode,Lookback,MaxPairs,LevelTolATR,MinCount,MinDensity,MaxDistATR,n,toward5,reach10,mirror10,edge,fwd5_mean,fwd5_up,n_above,up5_above,n_below,up5_below
1,120,,0.35,5,0.33,2.0,2,0.0,50.0,100.0,-50.0,-9.72,0.0,2,0.0,0,nan
1,120,,0.35,7,0.0,,65,53.8,61.5,60.0,1.5,1.86,53.8,43,55.8,22,50.0
1,120,,0.35,7,0.0,2.0,56,48.2,64.3,67.9,-3.6,1.39,48.2,36,47.2,20,50.0
1,120,,0.35,7,0.25,,22,36.4,59.1,63.6,-4.5,3.63,50.0,17,41.2,5,80.0
1,120,,0.35,7,0.25,2.0,20,30.0,55.0,70.0,-15.0,2.98,45.0,15,33.3,5,80.0
1,120,,0.35,7,0.33,,2,0.0,50.0,100.0,-50.0,-9.72,0.0,2,0.0,0,nan
1,120,,0.35,7,0.33,2.0,2,0.0,50.0,100.0,-50.0,-9.72,0.0,2,0.0,0,nan
1,120,,0.5,3,0.0,,317,53.5,66.6,63.7,2.8,0.89,57.1,181,59.1,141,53.9
1,120,,0.5,3,0.0,2.0,279,52.9,69.9,68.8,1.1,0.81,55.6,159,57.2,125,52.8
1,120,,0.5,3,0.25,,123,56.1,73.2,65.0,8.1,1.16,52.8,77,57.1,46,45.7
1,120,,0.5,3,0.25,2.0,114,57.0,75.4,66.7,8.8,1.35,53.5,70,58.6,44,45.5
1,120,,0.5,3,0.33,,36,55.6,72.2,75.0,-2.8,3.79,63.9,21,66.7,15,60.0
