name,group,land,tiland,prefw,preti,pre_last,pre_met_frac,post_n,post_met,post_last,post_boots,wd
?,Whispering Pines Mobile Estates-CUST,09/15 07:07,09/12 05:31,17078,391,Failed Cal,0.3125,4,0,Failed Cal,0,0
?,Whispering Pines Mobile Estates-CUST,09/15 08:17,09/12 04:23,17078,391,Calibrating,0.5483870967741935,10,4,Calibrating,1,53
?,Whispering Pines Mobile Estates-CUST,09/15 09:23,09/12 05:04,17078,391,Calibrating,0.2903225806451613,6,0,Failed Cal,0,0
?,Whispering Pines Mobile Estates-CUST,09/15 08:09,09/12 05:44,17078,391,Failed Cal,0.2903225806451613,6,0,Calibrating,0,0
?,Whispering Pines Mobile Estates-CUST,09/15 08:11,09/12 07:07,17078,391,Metering,0.23728813559322035,6,1,Calibrating,0,122
?,Whispering Pines Mobile Estates-CUST,09/15 04:08,09/12 03:30,17078,391,Metering,0.2564102564102564,8,2,Calibrating,0,122
?,Parkway MHC-Cust,09/17 07:02,09/17 07:05,17040,354,Metering,1.0,2,1,Metering,0,0
?,Parkway MHC-Cust,09/17 05:26,09/17 05:28,16130,296,Metering,1.0,2,1,Metering,0,0
?,Parkway MHC-Cust,09/17 04:38,09/17 04:41,16022,260,Metering,0.9375,2,1,Metering,0,0
?,Parkway MHC-Cust,09/17 08:00,09/17 08:03,17040,354,Metering,1.0,2,1,Metering,0,0
?,Parkway MHC-Cust,09/17 03:13,09/17 03:16,16022,260,Metering,1.0,2,1,Metering,0,0
?,Parkway MHC-Cust,09/15 08:58,09/12 03:44,17078,391,Metering,0.7241379310344828,4,3,Metering,0,0
?,Carolina Springs MHP-CUST,09/15 08:30,09/12 05:53,17078,391,Failed Cal,0.3103448275862069,4,0,Calibrating,0,0
?,Carolina Springs MHP-CUST,09/15 09:05,09/12 04:15,17078,391,Calibrating,0.21428571428571427,4,0,Calibrating,0,0
