class,id,group,last_post,fwVer,fwVerTi,tiUartVer,boots_24h,posts_24h,bootReasonFlags,tifota_lastFailedVer,tifota_config_err,tiBslOkCnt,deviceState,VddAdc,meterVal
failed_cal,0b6520a0-846b-11f1-a1a6-391af391818e,All,09/13 08:50,17037,344,344,0,2,20,0,0,24,Failed Cal,3670,0
failed_cal,0bee1a10-8aea-11f1-a1a6-391af391818e,All,09/13 09:54,17037,344,344,0,2,20,0,0,5,Failed Cal,3676,0
failed_cal,0bfbbf20-a648-11f1-a1a6-391af391818e,All,09/13 06:52,17037,344,344,0,6,4,0,0,1,Failed Cal,3658,0
failed_cal,0c361cd0-5bb0-11f0-9fcd-87e94e720126,Aurora MHC,09/13 09:34,17037,344,344,3,4,4,0,0,1,Failed Cal,3512,27668
failed_cal,0cdef150-89fb-11f1-a1a6-391af391818e,All,09/13 07:21,17037,344,344,0,2,20,0,0,5,Failed Cal,3673,0
failed_cal,0cf38ac0-89fb-11f1-a1a6-391af391818e,All,09/13 07:03,17037,344,344,0,2,4,0,0,16,Failed Cal,3671,0
failed_cal,0d2ef8f0-8ab2-11f1-a1a6-391af391818e,All,09/13 08:56,17037,344,344,0,2,6,0,0,24,Failed Cal,3676,0
failed_cal,0d7dea50-fe2b-11f0-8726-d3fa6d0d96af,Southern Cross MHC,09/12 08:15,17040,354,354,0,0,6,0,0,2,Failed Cal,3651,24531.303
failed_cal,0dc572d0-4cc8-11f1-b1bb-f3574cce671d,Haven MHP,09/13 02:35,16131,296,,0,1,6,0,0,,Not Metering,3677,92.674
failed_cal,0dcc6c00-8b63-11f1-a1a6-391af391818e,All,09/08 09:07,17037,344,344,0,0,20,0,0,9,Failed Cal,3664,0
failed_cal,0dd3afa0-846b-11f1-a1a6-391af391818e,Lakewood MH Park,09/13 08:26,17037,344,344,0,4,20,0,0,24,Failed Cal,3669,0
failed_cal,0e41fa60-c6c4-11f0-9842-6d029661c338,All,09/12 10:17,17037,344,344,0,2,6,0,0,3,Failed Cal,3650,20
failed_cal,0eac7110-a92d-11f0-98a7-c3bc57f9afe3,GENII Production Failures,09/12 09:58,16185,314,314,0,2,4,0,0,5,Not Metering,3661,0
failed_cal,0ef3e2c0-a643-11f1-a1a6-391af391818e,All,09/13 06:34,17037,344,344,0,6,4,0,0,1,Failed Cal,3656,0
failed_cal,0f666900-a0c4-11f1-a1a6-391af391818e,All,09/13 09:25,17037,344,344,0,2,20,0,0,1,Failed Cal,3674,0
failed_cal,0fdb1970-8aef-11f1-a1a6-391af391818e,All,09/12 10:47,17037,344,344,0,2,6,0,0,14,Failed Cal,3678,0
failed_cal,0ff202c0-a64c-11f1-a1a6-391af391818e,All,09/12 20:58,17037,344,344,0,20,4,0,0,1,Failed Cal,3632,0
failed_cal,0ff85ec0-4cd0-11f1-b1bb-f3574cce671d,All,09/12 10:54,17037,344,344,0,2,6,0,0,24,Failed Cal,3672,2.066
failed_cal,1056a710-a643-11f1-a1a6-391af391818e,All,09/13 06:42,17037,344,344,0,10,4,0,0,1,Failed Cal,3649,0
failed_cal,10de9230-a637-11f1-a1a6-391af391818e,All,09/13 07:55,17037,344,344,0,7,4,0,0,1,Failed Cal,3660,0
failed_cal,11c89120-a644-11f1-a1a6-391af391818e,All,09/13 06:00,17037,344,344,0,6,4,0,0,1,Failed Cal,3664,0
failed_cal,12a48990-8ab6-11f1-a1a6-391af391818e,All,09/13 08:24,17037,344,344,0,2,6,0,0,15,Failed Cal,3668,0
failed_cal,131ac500-8af8-11f1-a1a6-391af391818e,All,09/11 09:14,17037,344,344,0,0,20,0,0,5,Failed Cal,3666,0
failed_cal,13391fd0-8b63-11f1-a1a6-391af391818e,All,09/11 09:52,17037,344,344,0,0,20,0,0,10,Failed Cal,3646,0
failed_cal,13571510-8ad4-11f1-a1a6-391af391818e,All,09/12 09:27,17037,344,344,0,0,4,0,0,5,Failed Cal,3670,0
failed_cal,13ab1010-89e5-11f1-a1a6-391af391818e,GENII Production Failures,09/13 09:57,17037,344,344,0,498,6,0,0,16,Failed Cal,3565,0
failed_cal,1424c550-8ad4-11f1-a1a6-391af391818e,All,09/12 09:19,17037,344,344,0,0,4,0,0,5,Failed Cal,3664,0
failed_cal,145b9e70-a64c-11f1-a1a6-391af391818e,All,09/13 07:38,17037,344,344,0,6,4,0,0,1,Failed Cal,3644,0
failed_cal,14d2b740-4cc8-11f1-b1bb-f3574cce671d,Haven MHP,09/13 08:25,17078,391,391,0,4,6,0,0,6,Failed Cal,3672,96
failed_cal,14dc6fd0-8ac4-11f1-a1a6-391af391818e,All,09/13 09:48,17037,344,344,0,2,6,0,0,24,Failed Cal,3668,0
failed_cal,15201540-8ad4-11f1-a1a6-391af391818e,All,09/13 07:14,17037,344,344,0,2,4,0,0,24,Failed Cal,3669,0
failed_cal,15a26210-c943-11ef-8f43-73c96c0de66f,Mena Estates MHC,09/12 08:57,16185,314,314,0,0,4,0,0,1,Not Metering,3655,0
failed_cal,162a3200-8b73-11f1-a1a6-391af391818e,All,09/13 08:23,17037,344,344,0,2,4,0,0,35,Failed Cal,3677,0
failed_cal,16b5b290-01de-11f1-af1d-29d4205d602a,Hillview MHC,09/13 08:07,17078,391,391,0,6,6,0,0,5,Failed Cal,3642,13605
failed_cal,173a8350-9b47-11f1-a1a6-391af391818e,All,09/13 08:14,17037,344,344,0,2,4,0,0,1,Failed Cal,3673,0
failed_cal,178c7a20-86de-11f1-a1a6-391af391818e,All,09/12 08:38,17037,344,344,0,0,6,0,0,6,Failed Cal,3667,0
failed_cal,17e27440-846b-11f1-a1a6-391af391818e,Lakewood MH Park,09/13 08:04,17037,344,344,0,2,6,0,0,24,Failed Cal,3668,0
failed_cal,17efe240-c4bf-11f0-9842-6d029661c338,GENII Production Failures,09/13 10:00,16185,314,314,0,0,6,0,0,1,Not Metering,3655,0
failed_cal,17fa8ac0-8bab-11f1-a1a6-391af391818e,All,09/13 09:02,17037,344,344,0,2,20,0,0,160,Failed Cal,3674,0
failed_cal,185c4700-9b47-11f1-a1a6-391af391818e,All,09/13 08:19,17037,344,344,0,2,4,0,0,1,Failed Cal,3664,0
failed_cal,18bdc210-a636-11f1-a1a6-391af391818e,All,09/13 03:26,17037,344,344,0,4,4,0,0,1,Failed Cal,3657,0
failed_cal,1936b3e0-a63c-11f1-a1a6-391af391818e,All,09/13 09:58,17037,344,344,0,18,4,0,0,1,Failed Cal,3635,0
failed_cal,19524190-a959-11f0-98a7-c3bc57f9afe3,All,09/13 08:44,17037,344,344,0,2,4,0,0,1,Failed Cal,3655,0
failed_cal,19d466b0-89f1-11f1-a1a6-391af391818e,All,09/13 08:26,17037,344,344,1,4,20,0,0,41,Failed Cal,3665,0
failed_cal,19efdf50-9b47-11f1-a1a6-391af391818e,All,09/13 08:15,17037,344,344,0,2,20,0,0,1,Failed Cal,3670,0
