class,id,group,last_post,fwVer,fwVerTi,tiUartVer,boots_24h,posts_24h,bootReasonFlags,tifota_lastFailedVer,tifota_config_err,tiBslOkCnt,deviceState,VddAdc,meterVal
failed_cal,01f24ab0-8467-11f1-a1a6-391af391818e,All,09/13 09:33,17037,344,344,0,4,6,0,0,24,Failed Cal,3670,0
failed_cal,0212e4f0-a63b-11f1-a1a6-391af391818e,All,09/12 11:48,17037,344,344,0,2,4,0,0,1,Failed Cal,3665,0
failed_cal,02b7a910-a63e-11f1-a1a6-391af391818e,All,09/13 09:40,17037,344,344,0,8,4,0,0,1,Failed Cal,3664,0
failed_cal,02dcb340-6c14-11f1-9333-3b2cfe68422f,All,09/13 09:53,17037,344,344,0,2,20,0,0,24,Failed Cal,3661,0
failed_cal,02f0dc70-89ed-11f1-a1a6-391af391818e,All,09/13 08:24,17037,344,344,0,2,4,0,0,38,Failed Cal,3675,0
failed_cal,037768e0-a639-11f1-a1a6-391af391818e,All,09/13 08:30,17037,344,344,0,14,4,0,0,1,Failed Cal,3654,0
failed_cal,03d7e2d0-f318-11f0-8900-8bd481ce9a44,All,09/13 09:07,17037,344,344,0,2,4,0,0,12,Failed Cal,3656,0
failed_cal,03eee2a0-b8ea-11ef-8f43-73c96c0de66f,All,09/12 10:18,16185,314,314,0,2,6,0,0,1,Not Metering,3653,323
failed_cal,03eff120-01de-11f1-af1d-29d4205d602a,Brian Fries 5YR,09/12 11:54,17078,391,391,0,2,20,0,0,5,Failed Cal,3628,0
failed_cal,040d22c0-a645-11f1-a1a6-391af391818e,All,09/13 09:27,17037,344,344,0,6,4,0,0,1,Failed Cal,3659,0
failed_cal,044afe20-9fa1-11f0-b5af-5dfa9891b485,All,09/13 08:12,17037,344,344,0,2,20,0,0,4,Failed Cal,3658,14725
failed_cal,046895a0-5bb0-11f0-9fcd-87e94e720126,Aurora MHC,09/13 08:06,17078,391,391,1,4,20,0,0,1,Failed Cal,3547,16864
failed_cal,04f042c0-98e6-11f0-b5af-5dfa9891b485,All,09/12 11:52,17037,344,344,0,2,4,0,0,1,Failed Cal,3661,24462
failed_cal,04ff8de0-846b-11f1-a1a6-391af391818e,Lakewood MH Park,09/12 10:41,17037,344,344,0,2,4,0,0,24,Failed Cal,3672,0
failed_cal,053da070-82e2-11f0-8b4a-0d0197d44616,Ponderosa MHC,09/13 09:54,17060,368,368,2,4,20,0,0,5,Failed Cal,3624,9450
failed_cal,055c3720-89ed-11f1-a1a6-391af391818e,All,09/13 07:05,17037,344,344,0,2,20,0,0,44,Failed Cal,3669,0
failed_cal,0568f630-48a3-11f1-bc16-b52012ce6db2,All,09/12 10:56,17037,344,344,0,2,20,0,0,24,Failed Cal,3661,0
failed_cal,06650470-8ac5-11f1-a1a6-391af391818e,All,09/12 08:09,17037,344,344,0,0,20,0,0,24,Failed Cal,3677,0
failed_cal,068b0f90-5230-11f0-acb1-514e01860b07,All,09/13 08:37,17037,344,344,0,2,20,0,0,24,Failed Cal,3650,20850
failed_cal,06b30e10-a648-11f1-a1a6-391af391818e,All,09/13 06:42,17037,344,344,0,6,4,0,0,1,Failed Cal,3655,0
failed_cal,06fb06e0-98e6-11f0-b5af-5dfa9891b485,GENII Production Failures,09/12 11:13,17060,368,368,1,4,20,0,0,15,Failed Cal,3638,3263
failed_cal,0721ba00-98ec-11f0-b5af-5dfa9891b485,All,09/13 09:06,17037,344,344,0,2,4,0,0,2,Failed Cal,3647,182
failed_cal,072fbb50-a64c-11f1-a1a6-391af391818e,All,09/13 08:04,17037,344,344,0,8,4,0,0,1,Failed Cal,3649,0
failed_cal,07dd4da0-a260-11f1-a1a6-391af391818e,All,09/12 10:58,17037,344,344,0,2,4,0,0,1,Failed Cal,3669,0
failed_cal,08242940-a653-11f1-a1a6-391af391818e,All,09/13 09:30,17037,344,344,0,8,20,0,0,1,Failed Cal,3657,0
failed_cal,0870af90-82f0-11f0-8b4a-0d0197d44616,GENII Production Failures,09/13 04:25,16128,295,,0,2,6,0,0,,Not Metering,3630,57201.5
failed_cal,08e0ba90-f61f-11f0-b153-63024d3301e1,GENII Production Failures,09/13 09:33,17078,391,391,0,6,6,0,0,6,Failed Cal,3588,0
failed_cal,0902b790-8ab6-11f1-a1a6-391af391818e,All,09/13 08:34,17037,344,344,0,2,6,0,0,5,Failed Cal,3667,0
failed_cal,0942fa90-842b-11f0-8b4a-0d0197d44616,Ponderosa MHC,09/13 08:20,17078,391,391,1,8,20,0,0,7,Failed Cal,3628,4933
failed_cal,098b48c0-8535-11f1-a1a6-391af391818e,All,09/13 08:59,17037,344,344,1,4,20,0,0,31,Failed Cal,3676,0
failed_cal,0a078d40-86ac-11f1-a1a6-391af391818e,Lakewood MH Park,09/13 09:46,17037,344,344,0,4,4,0,0,24,Failed Cal,3671,0
