id,name,group,lastPost,fwVer,fwVerTi,deviceState,blank,captureDuration,tofA,tnormStddev,tnormMasd,gain,env,upamp,gatedAggs,tiAggCount,meterVal,failedCal,bBootCount,tiParked,tiWdReset,sfHeld,margin_us
f757ecd0-a23f-11f1-a1a6-391af391818e,?,All,09/16 12:32,17088,391,Calibrating,25,30,None,0,0,40,30,28,0,0,0,false,24,0,0,0,
f78fe4a0-ea3a-11ef-b35e-23eef2ba43da,?,The Oaks MHC,09/17 05:04,17088,391,Metering,40,15,40070804,142,219,38,46,379,10,58,13430,false,20,0,0,0,0.07
f7b60040-8477-11f0-8b4a-0d0197d44616,?,Ponderosa MHC,09/16 09:04,17088,391,Calibrating,30,15,28715380,0,0,40,30,24,0,0,5408,false,92,0,0,0,-1.28
f7fe9af0-8ac3-11f1-a1a6-391af391818e,?,All,09/16 09:00,17088,391,Calibrating,25,30,0,0,0,40,30,27,0,0,0,false,27,0,0,0,
f8223420-a25f-11f1-a1a6-391af391818e,?,All,09/16 11:31,17088,391,Failed Cal,25,30,None,0,0,55,30,112,0,0,0,true,17,0,0,0,
f835e250-8ae9-11f1-a1a6-391af391818e,?,All,09/16 07:57,17088,391,Failed Cal,25,30,0,0,0,55,30,83,0,0,0,true,24,0,0,0,
f83cc100-a25f-11f1-a1a6-391af391818e,?,Rustic Acres MHC,09/17 07:14,17088,391,Metering,34,15,37239696,78,76,27,38,857,97905,216308,7786.019,false,23,0,6,0,3.24
f8946580-d45c-11f0-b691-d965a62fa4fa,?,Crystal Acres MHC,09/16 17:50,17088,391,Metering,36,15,40992760,108,140,52,34,1367,18,58,45330,false,33,0,0,0,4.99
f90c49f0-82e1-11f0-8b4a-0d0197d44616,?,All,09/17 08:03,17088,391,Calibrating,25,30,0,0,0,40,30,32,0,0,9505,false,77,0,0,0,
f91fb4b0-89fa-11f1-a1a6-391af391818e,?,All,09/16 07:04,17088,391,Calibrating,25,30,0,0,0,40,30,32,0,0,0,false,25,0,0,0,
f924d710-a25f-11f1-a1a6-391af391818e,?,All,09/17 08:13,17088,391,Failed Cal,25,30,None,0,0,55,30,99,0,0,0,true,14,0,0,0,
f9b46cb0-4cc7-11f1-b1bb-f3574cce671d,?,All,09/16 08:21,17088,391,Calibrating,25,30,None,0,0,40,30,31,0,0,0,false,28,0,0,0,
f9f8cba0-4d6a-11f1-b1bb-f3574cce671d,?,The Oaks MHC,09/17 05:02,17088,391,Metering,30,15,39651600,303,356,43,46,319,44,113,44470,false,44,0,0,0,9.65
faa93ae0-89fa-11f1-a1a6-391af391818e,?,All,09/17 06:55,17088,391,Failed Cal,25,30,0,0,0,55,30,103,0,0,0,true,26,0,0,0,
fb5b5430-89f7-11f1-a1a6-391af391818e,?,All,09/16 07:13,17088,391,Calibrating,25,30,0,0,0,40,30,18,0,0,0,false,25,0,0,0,
fb9fe250-837f-11f0-8b4a-0d0197d44616,?,All,09/16 10:11,17088,391,Calibrating,25,30,0,0,0,40,30,36,0,0,4437,false,75,0,0,0,
fbfb9a80-8ab5-11f1-a1a6-391af391818e,?,All,09/17 07:59,17088,391,Calibrating,25,30,16543212,0,0,40,30,26,0,0,0,false,27,0,0,0,-8.46
fc704210-8479-11f0-8b4a-0d0197d44616,?,Ponderosa MHC,09/17 08:11,17088,391,Calibrating,25,30,35980732,0,0,40,30,31,0,0,48584,false,105,0,0,0,10.98
fd211af0-b967-11ef-8f43-73c96c0de66f,?,Sara Drive MHP,09/16 08:43,17088,391,Metering,33,15,35833936,57,57,31,42,923,89978,100434,60269.406,false,23,0,0,0,2.83
fe14d100-a0c3-11f1-a1a6-391af391818e,?,All,09/16 07:58,17088,391,Failed Cal,25,30,None,0,0,55,30,127,0,0,0,true,19,0,0,0,
fe5fcc80-a25f-11f1-a1a6-391af391818e,?,All,09/16 08:55,17088,391,Failed Cal,25,30,None,0,0,55,30,97,0,0,0,true,20,0,0,0,
fef4c070-5bb0-11f0-9fcd-87e94e720126,?,Aurora MHC,09/16 08:35,17088,391,Metering,33,15,36819628,43,41,27,34,811,165225,168097,16484.248,false,78,0,0,0,3.82
ff256a60-82e1-11f0-8b4a-0d0197d44616,?,Aurora MHC,09/17 07:25,17088,391,Failed Cal,25,30,30129512,0,0,55,30,596,0,0,282051,true,60,0,0,0,5.13
5154af00-ad3d-11f0-98a7-c3bc57f9afe3,?,Lake Road Village RV Park-Cust,09/16 07:59,17088,391,Calibrating,30,15,36490352,0,2688,40,30,0,8522,9070,284877.656,false,50,0,73,0,6.49
f1b0b750-89f1-11f1-a1a6-391af391818e,?,Ontario Place MHC-CUST,09/17 06:47,17088,391,Metering,33,15,36249716,21,22,23,38,1086,248451,256211,2054.957,false,27,0,0,0,3.25
dfe22720-89f1-11f1-a1a6-391af391818e,?,Ontario Place MHC-CUST,09/17 06:44,17088,391,Metering,33,15,36270960,90,135,24,38,695,235766,264569,641.597,false,31,0,0,0,3.27
dbf360c0-89f1-11f1-a1a6-391af391818e,?,Ontario Place MHC-CUST,09/16 07:24,17088,391,Metering,32,15,35386844,26,27,28,30,1202,165561,169879,10334.763,false,31,0,0,0,3.39
