id,group,groups,class,last_post,age_d,posts_24h,boots_24h,fwVer,fwVerTi,tiUartVer,bBootCount,bootReasonFlags,tifota_lastFailedVer,tifota_config_err,tiBslOkCnt,VddAdc,deviceState,failedCal,tiError,tiRecoveryExhausted,tiParked,sfProbeHeld,radioOveruseCnt,meterVal,tiBootCnt
01d464e0-f8ae-11f0-b153-63024d3301e1,Rusk MHC,2,ok,09/13 08:00,0.1,2,0,17040,354,354,32,6,0,0,6,3666,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,2940.144,1
01d6d1c0-5bb1-11f0-9fcd-87e94e720126,Aurora MHC,2,ok,09/13 03:35,0.3,1,0,16022,260,,58,6,,0,,3602,Metering,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,,,,1,15107.648,
01d7d2a0-263c-11f0-8272-45e3ef110760,Sky Run,2,ok,09/13 02:37,0.3,1,0,16131,296,,30,6,0,0,,3640,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,2925.789,
01db04e0-9b94-11ee-b99a-4db944ac885f,All,1,stale,08/27 15:06,381.8,0,,10649,,,13,4,,,,,Standby,,,,,,1,0,
01dc6350-4061-11ee-af4e-2b411221b2af,All,2,stale,12/26 02:20,261.3,0,,10706,,,32,6,,,,,Failed Calibration,,,,,,1,27654,
01dd9150-89e5-11f1-a1a6-391af391818e,Wintergreen Apartments,2,ok,09/13 07:21,0.1,2,0,17037,344,344,37,6,0,0,25,3681,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,1151.839,1
01e55900-4d0f-11ee-b7e1-39727005a827,South Breeze MHC,2,ti_dead,09/13 03:11,0.3,1,0,10706,,,49,20,,,,,Metering,,,,,,1,93096,
01ebf350-650f-11ef-82e8-31b9269e53c6,All,2,stale,04/01 03:43,165.3,0,,10671,,,12,20,,,,,Metering,,,,,,1,9996,
01f24ab0-8467-11f1-a1a6-391af391818e,All,2,failed_cal,09/13 09:33,0.0,4,0,17037,344,344,32,6,0,0,24,3670,Failed Cal,true,00000000 00000000 00000000 0000E000 00000280 00000000 00000000 00000000,0,,,1,0,5
01f2ec10-c43a-11f0-9842-6d029661c338,All,2,stale,12/05 11:49,281.9,0,,10300,159,,17,6,,,,,Not Metering,,,,,,1,0,
