name,devname,Property,pipeType,pipesize,pin_blank,pin_capture,pin_calMinBlank,pin_lFactor,fwVer,fwVerTi,state,gain,env,blank,capture,tnQuietSd,tnQuietN,offset,tofA_us,tofB_us,tofA_ts
ec6b2a20-52f4-11f1-b1bb-f3574cce671d,Device 75365468,Stafford MHC,P,¾,,,,,16185,314,Metering,35,53,36,15,,,128,39.58564,39.585108,09/18 09:39
212ab880-47fa-11f1-969c-6109d9dfb138,Device 75365476,Alta Vista MHC,X,¾,,,,,16131,296,Metering,20,33,32,15,,,1280,36.261864,36.243204,
b0abc400-545b-11f1-b1bb-f3574cce671d,Device 75365484,Roosevelt MHC,M,¾,,,,,16131,296,Metering,50,63,35,15,,,-512,39.35016,39.348984,09/17 17:16
026d86d0-f23b-11f0-8900-8bd481ce9a44,Device 75365492,Lantana Trail,M,¾,,,,,16185,314,Metering,35,63,35,15,,,3584,38.423632,38.424372,
46aea290-4b21-11f1-bc16-b52012ce6db2,Device 75365500,Grand Valley Estates MHC,X,¾,9,,,,17037,344,Metering,26,35,33,15,,,170,36.22102,36.222028,09/18 08:45
cb1bc1d0-4d37-11f1-b1bb-f3574cce671d,Device 75365518,Grand Valley Estates MHC,X,¾,,,,,17037,344,Metering,44,49,30,15,,,-816,35.475984,36.022688,09/18 07:57
25412ed0-52f5-11f1-b1bb-f3574cce671d,Device 75365526,Stafford MHC,P,¾,,,,,17037,344,Metering,38,35,36,15,,,-1334,39.190388,39.187612,09/18 06:15
7c29ac20-5487-11f1-b1bb-f3574cce671d,Device 75365534,Broadway MHP DesMoines,X,½,,,,,17037,344,Metering,32,50,26,15,,,4047,29.46041,29.461684,08/20 10:47
8ffd95b0-4b25-11f1-bc16-b52012ce6db2,Device 75365542,Wintergreen Apartments,M,¾,,,,,17037,344,Failed Cal,55,30,30,30,,,0,36.333896,36.332364,08/05 03:31
b5dd7b30-4cc7-11f1-b1bb-f3574cce671d,Device 75365559,,,,,,,,16022,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
