serial,property,apartment,fwVerTi,gain,up_ppk,tnormStddev,flag
72380288,Rusk MHC,58,344,47,2104,181,HIGH-GAIN-HIGH-AMP
77053868,The Oaks MHC,12,296,55,2045,246,HIGH-GAIN-HIGH-AMP
72383647,Hillview MHC,2,344,53,2013,282,HIGH-GAIN-HIGH-AMP
79456115,Broadway MHP DesMoines,16,344,53,2013,258,HIGH-GAIN-HIGH-AMP
75367506,Roosevelt MHC,6,344,47,2008,106,HIGH-GAIN-HIGH-AMP
72723762,Coleman Village MHC,150,344,53,2006,199,HIGH-GAIN-HIGH-AMP
72378498,Westview Mobile Estates MHC,220,344,50,530,65535,NOISY-COMMIT
70271778,Stafford MHC,306,344,50,452,65535,NOISY-COMMIT
72723598,CJ,105 exclude tenant,344,50,420,65535,NOISY-COMMIT
65827696,Sky Run,20,296,50,387,65535,NOISY-COMMIT
79461610,Pelican Shores North HOA,12600,344,47,972,24182,NOISY-COMMIT
72378605,Ponderosa MHC,45,344,55,95,14163,NOISY-COMMIT
75372233,Roosevelt MHC,82,314,45,34,10474,NOISY-COMMIT
70259518,Piney Park,69,314,55,90,10432,NOISY-COMMIT
72715859,Kay Bee Mobile Villa MHP,75,296,25,516,8409,NOISY-COMMIT
68612637,Parkview MHP,80,344,26,1072,7527,NOISY-COMMIT
79454797,Heritage Apartments,C5,296,35,975,6773,NOISY-COMMIT
72391418,Sunview MHP,21,344,41,2347,6738,NOISY-COMMIT
70267446,La Comunidad MHC,19,314,25,734,5296,NOISY-COMMIT
79465835,Rustic Acres MHC,1,344,41,2687,5278,NOISY-COMMIT
72389917,Sara Drive MHP,1039,296,55,627,5262,NOISY-COMMIT
72378555,Dorr Drive MHP,18,314,30,456,5222,NOISY-COMMIT
70265143,Kingsbrook MHC,2806V,296,40,1494,5173,NOISY-COMMIT
75367571,Stafford MHC,526,344,44,2508,4825,NOISY-COMMIT
77056481,Forest at Sherman MHC,52,314,50,682,4824,NOISY-COMMIT
75370955,Noble Estates MHC,501,344,32,344,4528,NOISY-COMMIT
72392986,Crystal Acres MHC,36,344,38,548,4036,NOISY-COMMIT
