serial,property,fwVer,fwVerTi,ageDays,dropouts120d,qual0frac30d,qualN,hardResets,tier
65825112,Ontario Place MHC,16185,314,614,1,0.00,60,2,MED
65825146,Parkview MHP,17037,344,614,1,0.02,62,0,MED
65825153,Green Grove Trailer Court MHC,17037,344,613,1,0.03,69,0,MED
65825195,Forest at Sherman MHC,362,209,613,0,0.00,67,0,OK
65825203,Aurora MHC,16022,260,480,0,0.00,30,0,OK
65825237,Kachina,16185,314,511,1,0.00,57,2,MED
65825252,Sara Drive MHP,362,209,599,0,0.00,60,0,OK
65825286,Ontario Place MHC,17037,344,619,1,0.12,17,0,MED
65825294,Eastwood Hills MHC,362,209,591,0,0.00,60,0,OK
65825302,Aurora MHC,16022,260,601,0,0.00,30,0,OK
65825310,Kingsbrook MHC,16131,296,590,0,0.00,31,0,OK
65825385,Aurora MHC,16131,296,480,0,0.00,30,0,OK
65825419,Lakeview MHC,362,209,480,0,0.00,60,0,OK
65825443,Suncrest Dr MF,362,209,564,0,0.00,60,0,OK
65825484,Forest at Sherman MHC,362,209,567,0,0.00,58,0,OK
65825542,Carolina Springs MHP,17037,344,527,3,0.52,44,0,HIGH
65825559,Estancia MHP,15147,256,527,0,0.00,30,0,OK
65825625,Aurora MHC,16022,260,527,0,0.00,30,0,OK
65825633,Forest at Sherman MHC,16131,296,527,0,0.00,30,0,OK
65825716,Alta Vista MHC,363,219,562,0,0.00,60,0,OK
65825740,PW2,16185,314,566,1,0.03,59,2,MED
65825799,The Oaks MHC,16131,296,569,0,0.44,32,0,MED
65825807,Estancia MHP,15147,256,558,0,0.00,31,0,OK
65825815,Aurora MHC,16131,296,481,0,0.00,30,0,OK
65825849,Aurora MHC,16022,260,567,0,0.00,30,0,OK
65825864,Westview Mobile Estates MHC,362,209,569,0,0.00,56,0,OK
65825880,Sara Drive MHP,362,209,561,0,0.00,59,0,OK
65825898,Estancia MHP,15147,256,562,0,0.00,30,0,OK
65825930,PW2,16022,260,526,0,0.00,30,0,OK
65825955,Estancia MHP,15147,256,566,0,0.00,34,0,OK
65825963,Sara Drive MHP,16131,296,293,0,0.00,30,0,OK
65825989,Green Grove Trailer Court MHC,16131,296,527,0,0.00,30,0,OK
65826011,Fair Meadows MHC,16022,260,563,0,0.00,30,0,OK
65826029,Eastwood Hills MHC,362,209,591,0,0.00,59,0,OK
65826052,Forest at Sherman MHC,16185,314,569,1,0.00,60,2,MED
65826078,Hydetown Mobile Estates,16131,296,452,0,0.00,30,0,OK
65826185,Forest at Sherman MHC,16185,314,579,1,0.00,93,2,MED
65826193,Green Grove Trailer Court MHC,16131,296,527,0,0.00,30,0,OK
65826219,PW2,16185,314,461,1,0.00,60,2,MED
65826243,Forest at Sherman MHC,16185,314,619,1,0.00,60,2,MED
65826250,Carolina Springs MHP,362,209,601,0,0.00,60,0,OK
65826268,Sara Drive MHP,362,209,599,0,0.00,58,0,OK
65826276,Forest at Sherman MHC,16185,314,591,1,0.00,60,2,MED
65826292,PW2,16022,260,527,0,0.00,30,0,OK
65826300,Oaklawn Park HOA,15090,254,567,0,0.00,30,0,OK
65826318,The Oaks MHC,16131,296,527,0,0.00,31,0,OK
65826334,Sky Run,16131,296,494,0,0.00,30,0,OK
65826342,Estancia MHP,15147,256,567,0,0.00,31,0,OK
65826391,Parkway MHC,16022,260,564,0,0.00,30,0,OK
65826417,Lafountaine MHC,16131,296,562,0,0.00,30,0,OK
65826433,Kingsbrook MHC,16185,314,452,1,0.02,49,2,MED
65826458,Aurora MHC,16131,296,526,0,0.00,30,0,OK
65826482,Trans Canada,362,209,527,0,0.00,60,0,OK
65826508,Parker MHC,16185,314,562,1,0.00,62,2,MED
65826524,Parkway MHC,16022,260,567,0,0.00,30,0,OK
65826581,Sara Drive MHP,362,209,569,0,0.00,60,0,OK
65826607,Aurora MHC,16022,260,480,0,0.00,30,0,OK
65826680,Parkway MHC,16022,260,567,0,0.00,30,0,OK
65826706,Estancia MHP,15147,256,569,0,0.00,30,0,OK
65826730,Parker MHC,16185,314,562,1,0.00,64,2,MED
65826771,Virginia Beach,17037,344,590,1,0.13,63,0,MED
65826789,PW2,16022,260,599,0,0.00,30,0,OK
65826797,PW2,16022,260,591,0,0.00,31,0,OK
65826805,Oakwood MHP,16185,314,599,1,0.00,60,2,MED
65826896,Green Acres MHC,362,209,591,0,0.00,60,0,OK
