serial,apt,landed,days_on,dir_pre,dir_post,dir_post_all,offset_pre,offset_post,offset_post_min,offset_post_max,recs_pre,recs_post,tofNorm_med_pre,tofNorm_med_post,noise_pre_ps,noise_post_ps,waterFlowDir_attr,from_pair,ti_crossed,galday_pre_med,galday_pre_range,galday_post
70262371,46,09/13 17:47,2.6,NOT FLIPPED,FLIPPED,FLIPPED/UNKNOWN,768.0,748.0,611.0,1305.0,3335,7863,451.0,1865.0,2162.3,3442.3,2,16185/314,yes,78.0,0-432,09/15:0 09/16:21
79464317,44,09/14 08:07,2.0,FLIPPED,FLIPPED,FLIPPED,-1315.0,2569.0,2552.0,2569.0,10000,10000,-2514.0,4031.0,585.0,67.1,2,17037/344,yes,147.0,77-222,09/15:3
79458566,45,09/14 03:10,2.2,UNKNOWN,UNKNOWN,UNKNOWN,5461.0,5166.0,5166.0,5313.0,52,6,-5422.0,-12.0,112.2,,,17037/344,yes,,,
79462923,109,09/13 12:11,2.8,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,-5578.0,-5909.0,-5958.0,-5860.0,10000,13,20.0,48.0,36.7,61.3,1,17078/344,yes,,,
79463723,99,09/14 05:12,2.1,UNKNOWN,NOT FLIPPED,NOT FLIPPED/UNKNOWN,-791.0,-744.0,-744.0,-744.0,1004,4869,3838.5,5226.0,111.1,106.9,1,17037/344,yes,,,
79461024,37,09/13 23:45,2.3,UNKNOWN,UNKNOWN,UNKNOWN,376.0,-9041.0,-9278.0,-9041.0,10000,10000,4438.0,3563.0,1216.1,1595.6,,17037/344,yes,1222.0,1093-1805,09/15:0
65822283,1014,09/15 03:43,1.2,FLIPPED,UNKNOWN,UNKNOWN,896.0,-104.0,-116.0,-104.0,10000,10000,-4679.0,6.0,162.5,59.8,,362/209,yes,,,
70271315,192,09/14 09:51,1.9,UNKNOWN,FLIPPED,FLIPPED,-512.0,-699.0,-699.0,-601.0,10000,897,7262.0,-7239.0,49.3,111.1,2,17037/344,yes,,,
70268832,116 Shady Lane,09/15 08:32,1.0,FLIPPED,FLIPPED,FLIPPED,-3277.0,-3396.0,-3396.0,-3396.0,10000,42,-109.0,-354.5,189.8,396.3,,17078/368,yes,,,
79462295,36,09/14 07:08,2.0,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,-599.0,-6058.0,-6058.0,-6058.0,10000,10000,-2558.5,-5580.0,2221.5,49.3,1,17037/344,yes,830.0,176-1349,09/15:81
79466858,154 Shady Lane,09/15 09:45,0.9,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,-5351.0,-5346.0,-5346.0,-5297.0,10000,1616,4903.0,5721.5,92.3,173.0,,17060/368,yes,,,
79455422,76 Shady Lane,09/15 07:19,1.0,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,29.5,,,,10000,5311,1475.0,7806.0,71.3,153.1,,17078/368,yes,,,
79456024,4,09/14 02:43,2.2,FLIPPED,UNKNOWN,UNKNOWN,-1541.0,-3091.0,-3091.0,-3091.0,10000,3,-4807.0,85.0,1467.7,,,17037/344,yes,736.0,-6878-1183,09/15:0
72390865,206,09/15 07:28,1.0,FLIPPED,FLIPPED,FLIPPED,4737.0,4679.0,4679.0,4679.0,10000,114,-808.5,172.5,223.3,451.8,2,17078/368,yes,,,
79464275,206,09/14 08:49,1.9,UNKNOWN,FLIPPED,FLIPPED,-5297.0,-5426.0,-5524.0,-5426.0,10000,10000,-4590.0,-5685.5,2420.7,1491.8,,17037/344,yes,,,
79456776,81,09/14 07:35,2.0,UNKNOWN,UNKNOWN,FLIPPED/UNKNOWN,-122.0,-186.0,-186.0,-186.0,10000,5230,-1628.0,-4711.0,888.0,192.9,2,17037/344,yes,,,
