group,serial,id,apt,state,fw,fwti,gain,tiPulse,crash,seen_h,nowater,pipe
Fair Meadows MHC,65827084,7cd10350-c93f-11ef-8f43-73c96c0de66f,178,Not Metering,16022,209,0,,0,2847.2,false,X ¾
Fair Meadows MHC,75365005,482c7ed0-3aa0-11f1-b198-172a4a9f25c9,181,Not Metering,16022,260,35,,0,2867.8,false,P ¾
Flow Testing,79453815,3ab0b200-89f4-11f1-a1a6-391af391818e,Sample 4,Failed Cal,17037,354,55,,0,6.4,false,P ¾
Forest at Sherman MHC-CUST,65822101,a412a6e0-cf6f-11ef-8f43-73c96c0de66f,50,Calibrating,17060,368,40,13,9,7.9,false,X ¾
Forest at Sherman MHC-CUST,65829403,b63bf6e0-e58c-11ef-a76f-4d93d4a482f0,59,Not Metering,16048,272,45,,0,2390.8,false,P ¾
Forest at Sherman MHC-CUST,65823943,41976c20-c93f-11ef-8f43-73c96c0de66f,91,Not Metering,16048,272,45,,0,2439.5,false,M ¾
Fowler Apts MF,77056358,caccea00-352e-11f0-8e55-b138a1c03c8e,401-M,Failed Cal,17060,368,55,13,0,11.0,false,L 1
Fowler Apts MF,77057356,d9e2e9e0-352e-11f0-8e55-b138a1c03c8e,604,Not Metering,16048,272,45,,1,2439.6,false,L ¾
Freedom MHP,72715123,df3550e0-c426-11f0-9842-6d029661c338,8,Failed Cal,17060,368,55,13,0,9.6,false,X ½
Freedom MHP,72723143,309314d0-d21f-11f0-b691-d965a62fa4fa,106,Not Metering,16048,272,45,,0,2438.8,false,X ½
Freedom MHP,72718713,710c3550-d21f-11f0-b691-d965a62fa4fa,41,Not Metering,16048,272,45,,80,2438.1,false,X ½
Freedom MHP,72721998,b042eac0-d21f-11f0-b691-d965a62fa4fa,64,Not Metering,16048,272,45,,1,2438.0,false,X ½
Freedom MHP,72716378,820e74d0-d21f-11f0-b691-d965a62fa4fa,95,Not Metering,16048,272,45,,979,2437.0,false,X ½
Glenn Dorado,70269087,994f4cc0-9a69-11f0-b5af-5dfa9891b485,113-213,Failed Cal,17037,344,55,,0,7.4,false,M 1
Glenn Dorado,72385956,56abf410-9328-11f0-ac3b-59f8170a8dd3,107-207,Not Metering,16048,272,45,,0,2436.9,false,M 1
Green Acres MHC,72386988,b9d41330-ad39-11f0-98a7-c3bc57f9afe3,8,Failed Cal,17060,368,55,13,0,9.7,false,P ¾
Green Forest,65822952,d1242ea0-26b9-11f0-8272-45e3ef110760,18,Not Metering,362,209,41,,2,1598.0,false,P ¾
Green Grove Trailer Court MHC,65825500,2e931240-e984-11ef-b35e-23eef2ba43da,15,Failed Cal,17040,354,55,,0,9.1,false,X ½
Haven MHP,75365740,8e0e9800-4cc7-11f1-b1bb-f3574cce671d,21,Failed Cal,17060,368,55,13,0,8.0,false,X ½
Haven MHP,75368405,14d2b740-4cc8-11f1-b1bb-f3574cce671d,3,Failed Cal,17060,368,55,6,0,9.0,false,X ¾
Haven MHP,75371946,b7fb3170-4ccf-11f1-b1bb-f3574cce671d,4,Failed Cal,17060,368,55,13,0,10.5,false,X ¾
Heritage Apartments,75362895,9fdfa2f0-4816-11f1-969c-6109d9dfb138,D4,Calibrating,17060,368,40,13,0,11.1,false,C ¾
