group,lever,serial,id,apt,tier,reported,draws,pos,neg,waterFlowDir_to_write
Carolina Springs MHP-CUST,362/209,70272867,407fda30-9e6d-11f0-b5af-5dfa9891b485,CSP117-399-BAINBRIDGECT,PIN-B,NOT FLIPPED,NOT FLIPPED,3821,796,1
Carolina Springs MHP-CUST,362/209,72381906,ec916260-9fa0-11f0-b5af-5dfa9891b485,CSP128-1885-BLAKEST,PIN,FLIPPED,FLIPPED,0,5715,2
Carolina Springs MHP-CUST,362/209,72391053,72074350-9e7b-11f0-b5af-5dfa9891b485,CSP129-1881-BLAKEST,PIN-B,NOT FLIPPED,NOT FLIPPED,2353,398,1
Carolina Springs MHP-CUST,362/209,70272990,39297340-9e77-11f0-b5af-5dfa9891b485,CSP131-1875-BLAKEST,PIN-B,FLIPPED,FLIPPED,462,2911,2
Carolina Springs MHP-CUST,362/209,70273071,434baf70-9fa1-11f0-b5af-5dfa9891b485,CSP137-1839-BLAKEST,PIN-B,NOT FLIPPED,NOT FLIPPED,2226,692,1
Carolina Springs MHP-CUST,362/209,70272834,2e319dc0-9fa1-11f0-b5af-5dfa9891b485,CSP138-1837-BLAKEST,PIN-B,NOT FLIPPED,NOT FLIPPED,2569,439,1
Carolina Springs MHP-CUST,362/209,72391434,1bab54a0-9e54-11f0-b5af-5dfa9891b485,CSP15-1768-GIBSONST,PIN,FLIPPED,FLIPPED,0,5554,2
Carolina Springs MHP-CUST,362/209,70266059,fc089bf0-9e6a-11f0-b5af-5dfa9891b485,CSP152 110-BLAKEST 110 Loucada,PIN-B,FLIPPED,FLIPPED,499,2644,2
Carolina Springs MHP-CUST,362/209,70259245,28337f60-9fa1-11f0-b5af-5dfa9891b485,CSP159-1884-BLAKEST,PIN-B,NOT FLIPPED,NOT FLIPPED,3341,463,1
Carolina Springs MHP-CUST,362/209,72391228,41462860-9fd6-11f0-b5af-5dfa9891b485,CSP2-1794-GIBSONST,PIN-B,NOT FLIPPED,NOT FLIPPED,3060,946,1
Carolina Springs MHP-CUST,362/209,70272552,1f184280-9fa1-11f0-b5af-5dfa9891b485,CSP21-1744-GIBSONST,PIN-B,NOT FLIPPED,NOT FLIPPED,956,226,1
Carolina Springs MHP-CUST,362/209,72388695,d6da99b0-8500-11f0-8b4a-0d0197d44616,CSP41-1737-GIBSONST,PIN-B,FLIPPED,FLIPPED,7,3155,2
Carolina Springs MHP-CUST,362/209,70272123,81ed1750-9e70-11f0-b5af-5dfa9891b485,CSP43-1745-GIBSONST,PIN,FLIPPED,FLIPPED,1,5438,2
Carolina Springs MHP-CUST,362/209,72378621,9eba8e40-84a2-11f0-8b4a-0d0197d44616,CSP62-1828-GILMOREST,PIN-B,NOT FLIPPED,NOT FLIPPED,1522,500,1
Carolina Springs MHP-CUST,362/209,72381328,5673c590-9e77-11f0-b5af-5dfa9891b485,CSP70-1804-GILMOREST,PIN,NOT FLIPPED,NOT FLIPPED,5051,0,1
Carolina Springs MHP-CUST,362/209,70259625,700d0120-9e53-11f0-b5af-5dfa9891b485,CSP74-1766-GILMOREST,PIN-B,FLIPPED,FLIPPED,846,1947,2
Carolina Springs MHP-CUST,362/209,70269418,a38da460-9e70-11f0-b5af-5dfa9891b485,CSP8-1784-GIBSONST,PIN-B,FLIPPED,FLIPPED,612,3234,2
Carolina Springs MHP-CUST,362/209,70262157,63969d20-9fd9-11f0-b5af-5dfa9891b485,CSP84-1728-GILMOREST,PIN,NOT FLIPPED,NOT FLIPPED,5143,0,1
Carolina Springs MHP-CUST,362/209,77053173,9e022f20-2639-11f0-8272-45e3ef110760,CSP85-1724-GILMOREST,PIN-B,NOT FLIPPED,NOT FLIPPED,2750,865,1
Carolina Springs MHP-CUST,362/209,72391871,5e19c410-9fd6-11f0-b5af-5dfa9891b485,CSP87-1716-GILMOREST,PIN-B,FLIPPED,FLIPPED,1422,2886,2
Carolina Springs MHP-CUST,362/209,72378795,809df300-9fd9-11f0-b5af-5dfa9891b485,CSP88-1712-GILMOREST,PIN-B,NOT FLIPPED,NOT FLIPPED,178,2,1
Carolina Springs MHP-CUST,362/209,72381104,29250b50-9fa1-11f0-b5af-5dfa9891b485,CSP92-1709-GILMOREST,PIN-B,FLIPPED,FLIPPED,173,1947,2
Carolina Springs MHP-CUST,362/209,65825666,47270210-01e6-11f0-92a4-09772dfb61f8,CSP96-1725-GILMOREST,PIN,NOT FLIPPED,NOT FLIPPED,5388,0,1
Cedarbrook Estates MHC,16185/314,79461651,0b00e470-48be-11f1-bc16-b52012ce6db2,35,PIN,NOT FLIPPED,NOT FLIPPED,103,3,1
Cedarbrook Estates MHC,16185/314,79460570,b1a7f7b0-48bd-11f1-bc16-b52012ce6db2,43,PIN,NOT FLIPPED,NOT FLIPPED,5656,0,1
Chickadee Lane MHC,16185/314,77041327,cbeec770-2609-11f0-8272-45e3ef110760,206W,PIN,NOT FLIPPED,NOT FLIPPED,5029,24,1
Chickadee Lane MHC,16185/314,72388737,f5f14a30-8495-11f0-8b4a-0d0197d44616,208-WHIPPOORWILL,PIN,FLIPPED,FLIPPED,0,5095,2
Chickadee Lane MHC,16185/314,72386905,7658d810-9976-11f0-b5af-5dfa9891b485,401-Quail or TOWHEE?,PIN,NOT FLIPPED,NOT FLIPPED,5066,10,1
Chickadee Lane MHC,16185/314,70266778,06944c50-a92d-11f0-98a7-c3bc57f9afe3,403-QUAILRUN,PIN,NOT FLIPPED,NOT FLIPPED,5602,8,1
Chickadee Lane MHC,16185/314,70263726,b862ac30-84a5-11f0-8b4a-0d0197d44616,404-QUAILCIRCLE,PIN,FLIPPED,FLIPPED,0,4788,2
Chickadee Lane MHC,16185/314,72385196,74f3b9d0-842d-11f0-8b4a-0d0197d44616,801-TOWHEE,PIN,NOT FLIPPED,NOT FLIPPED,5576,0,1
Chickadee Lane MHC,16185/314,65829288,8dae09f0-2639-11f0-8272-45e3ef110760,803T,PIN,NOT FLIPPED,NOT FLIPPED,5363,20,1
Chickadee Lane MHC,16185/314,72382961,08afe250-842b-11f0-8b4a-0d0197d44616,804-CHICKADEE,PIN,FLIPPED,FLIPPED,0,5384,2
Chickadee Lane MHC,16185/314,77028589,a549d360-260b-11f0-8272-45e3ef110760,804M,PIN,NOT FLIPPED,NOT FLIPPED,5618,0,1
Chickadee Lane MHC,16185/314,72388604,8c42ace0-842d-11f0-8b4a-0d0197d44616,805-CHICKADEELANE,PIN,FLIPPED,FLIPPED,0,3554,2
Chickadee Lane MHC,16185/314,72384819,b4bdb350-8495-11f0-8b4a-0d0197d44616,806-CHICKADEE,PIN,FLIPPED,FLIPPED,0,5797,2
