serial,id,group,lever,apt,fw,ti,reported,attr,records,conf,quiet,basis,pos,neg,draws,verdict,pin_value,tier
70273097,c8b82030-9f9c-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,65,16185,314,UNKNOWN,,5999,MED,-10,edge,72,4628,FLIPPED,LOW,,DRAWS-ONLY
72381179,b5a0bfb0-9fc5-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,46,16185,314,UNKNOWN,FLIPPED,6000,MED,-127,edge,0,5608,FLIPPED,LOW,,ATTR-OK
70265432,a6f5ddb0-9fc5-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,71,16185,314,UNKNOWN,,5998,MED,-86,edge,0,4951,FLIPPED,LOW,,DRAWS-ONLY
72382920,83a82060-9fc6-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,64,16185,314,UNKNOWN,,4634,MED,-46,edge,0,3760,FLIPPED,LOW,,DRAWS-ONLY
72378993,9a51a120-9fc5-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,70,16185,314,UNKNOWN,,6000,MED,34,edge,0,5464,FLIPPED,LOW,,DRAWS-ONLY
72381211,2fb13910-9fc6-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,140,16185,314,UNKNOWN,,5775,MED,14,edge,4943,29,NOT FLIPPED,LOW,,DRAWS-ONLY
70262538,a86aca70-9fc5-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,84,16185,314,UNKNOWN,,5999,MED,-14,edge,5634,0,NOT FLIPPED,LOW,,DRAWS-ONLY
72381518,2c2775e0-9fa1-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,143,16185,314,UNKNOWN,,6000,MED,-256,edge,817,1467,ambiguous,NO-DRAWS,,NO-DRAWS
70266257,dec2fa80-9f9c-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,32,16185,314,UNKNOWN,,6000,MED,-86,edge,7,5411,FLIPPED,LOW,,DRAWS-ONLY
72378910,c2bd5d30-9f9c-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,55,16185,314,UNKNOWN,,5997,MED,6,edge,5029,0,NOT FLIPPED,LOW,,DRAWS-ONLY
70267925,a53fa230-9fc5-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,50,16185,314,UNKNOWN,,0,,,,0,0,,NO-DRAWS,,NO-DATA
72378860,a070b500-9fc5-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,27,16185,314,UNKNOWN,NOT FLIPPED,5999,MED,9,edge,5375,5,NOT FLIPPED,LOW,,ATTR-OK
72389594,707b11a0-9fc6-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,145,16185,314,UNKNOWN,,5999,MED,91,edge,55,5295,FLIPPED,LOW,,DRAWS-ONLY
72381344,8891b6f0-9fc5-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,34,16185,314,UNKNOWN,,5999,MED,-99,edge,5676,0,NOT FLIPPED,LOW,,DRAWS-ONLY
75366359,f56e57f0-39d6-11f1-b198-172a4a9f25c9,Ontario Place MHC-CUST,16037/344,53,16185,314,UNKNOWN,,5999,MED,148,edge,12,5621,FLIPPED,LOW,,DRAWS-ONLY
65827308,09e56330-e0e7-11ef-a5fd-a97d57576080,Ontario Place MHC-CUST,16037/344,26,16185,314,UNKNOWN,,6000,MED,50,edge,5728,2,NOT FLIPPED,LOW,,DRAWS-ONLY
65825112,13cd6d00-bda8-11ef-8f43-73c96c0de66f,Ontario Place MHC-CUST,16037/344,131,16185,314,UNKNOWN,,6000,MED,-2,edge,5545,0,NOT FLIPPED,LOW,,DRAWS-ONLY
75369809,f23373c0-6c14-11f1-9333-3b2cfe68422f,Kay Lou MHC,16131/296,2625M,16131,296,UNKNOWN,,5998,MED,90,edge,5090,0,NOT FLIPPED,LOW,,DRAWS-ONLY
72718598,7dc79560-d79b-11f0-b691-d965a62fa4fa,Westmoreland,15154/260,400-D,15154,260,FLIPPED,,5999,MED,316,edge,104,5633,FLIPPED,LOW,2,PIN
72716402,9aa03810-c75e-11f0-9842-6d029661c338,Westmoreland,15154/260,412,15154,260,NOT FLIPPED,,6000,MED,-118,edge,2581,0,NOT FLIPPED,LOW,1,PIN
75363042,0cc82c20-f65a-11f0-b153-63024d3301e1,Grand Central MHP,15090/254,17,16048,254,NOT FLIPPED,,0,,,,0,0,,NO-DRAWS,,REPORTED-ONLY
75369601,1615c3a0-f65a-11f0-b153-63024d3301e1,Grand Central MHP,15090/254,4,15090,254,FLIPPED,,960,MED,-73,edge,1,784,FLIPPED,LOW,2,PIN
70266463,1ee75c40-ad3b-11f0-98a7-c3bc57f9afe3,Grand Central MHP,15090/254,24,16185,314,FLIPPED,FLIPPED,6000,MED,127,edge,0,5687,FLIPPED,LOW,,ATTR-OK
72387812,33e21530-ad32-11f0-98a7-c3bc57f9afe3,Grand Central MHP,15090/254,22,16185,314,FLIPPED,,4787,MED,12,edge,36,4264,FLIPPED,LOW,2,PIN
70264484,36b691f0-ad32-11f0-98a7-c3bc57f9afe3,Grand Central MHP,15090/254,14,16185,314,NOT FLIPPED,NOT FLIPPED,198,MED,-212,edge,134,0,NOT FLIPPED,LOW,,ATTR-OK
70265630,487f8dc0-ad3b-11f0-98a7-c3bc57f9afe3,Grand Central MHP,15090/254,1,16048,272,NOT FLIPPED,,0,,,,0,0,,NO-DRAWS,,REPORTED-ONLY
72387549,5e165fa0-ad32-11f0-98a7-c3bc57f9afe3,Grand Central MHP,15090/254,10,15090,254,NOT FLIPPED,,3716,MED,-12,edge,2948,0,NOT FLIPPED,LOW,1,PIN
72387671,792567f0-ad32-11f0-98a7-c3bc57f9afe3,Grand Central MHP,15090/254,15,16022,260,NOT FLIPPED,,5999,MED,-81,edge,5328,2,NOT FLIPPED,LOW,1,PIN
72391384,b3d5bcd0-ad30-11f0-98a7-c3bc57f9afe3,Grand Central MHP,15090/254,21,16048,272,UNKNOWN,,0,,,,0,0,,NO-DRAWS,,NO-DATA
72380338,b9a04810-ad30-11f0-98a7-c3bc57f9afe3,Grand Central MHP,15090/254,2,15090,254,FLIPPED,,5994,MED,-10,edge,0,5209,FLIPPED,LOW,2,PIN
72391376,be6f8360-ad30-11f0-98a7-c3bc57f9afe3,Grand Central MHP,15090/254,12,16185,314,FLIPPED,,5999,MED,89,edge,3,5395,FLIPPED,LOW,2,PIN
72387176,c0e935f0-ad30-11f0-98a7-c3bc57f9afe3,Grand Central MHP,15090/254,7,16185,314,NOT FLIPPED,,368,MED,133,edge,336,1,NOT FLIPPED,LOW,1,PIN
70262454,cb597b80-ad30-11f0-98a7-c3bc57f9afe3,Grand Central MHP,15090/254,20,16131,296,FLIPPED,FLIPPED,6000,MED,-644,edge,603,4162,FLIPPED,LOW,,ATTR-OK
72392689,34d503d0-9a72-11f0-b5af-5dfa9891b485,East Barre MHP,362/209,4,362,209,FLIPPED,,5999,MED,,,0,0,,AMBIGUOUS-ZERO,,AMBIGUOUS-ZERO
70260490,85c71b30-aabb-11f0-98a7-c3bc57f9afe3,East Barre MHP,362/209,6,362,209,FLIPPED,,6000,MED,,,0,0,,AMBIGUOUS-ZERO,,AMBIGUOUS-ZERO
70263494,893789d0-aabb-11f0-98a7-c3bc57f9afe3,East Barre MHP,362/209,5,362,209,FLIPPED,,5999,MED,,,0,0,,AMBIGUOUS-ZERO,,AMBIGUOUS-ZERO
70268691,893ea720-a939-11f0-98a7-c3bc57f9afe3,East Barre MHP,362/209,2,16022,260,FLIPPED,FLIPPED,6000,MED,-141,edge,1,5170,FLIPPED,LOW,,ATTR-OK
72391632,a557a260-a95a-11f0-98a7-c3bc57f9afe3,East Barre MHP,362/209,7,362,209,FLIPPED,,5999,MED,,,0,0,,AMBIGUOUS-ZERO,,AMBIGUOUS-ZERO
70259864,bedb8870-aabb-11f0-98a7-c3bc57f9afe3,East Barre MHP,362/209,3,16185,314,FLIPPED,FLIPPED,6000,MED,-354,edge,0,2629,FLIPPED,LOW,,ATTR-OK
79460992,2fbf4ec0-39d5-11f1-b198-172a4a9f25c9,Kay Bee Mobile Villa MHP,16131/296,58,16185,314,NOT FLIPPED,,5998,MED,78,edge,5678,0,NOT FLIPPED,LOW,1,PIN
75373512,1836eb50-f23b-11f0-8900-8bd481ce9a44,Kay Bee Mobile Villa MHP,16131/296,47,16131,296,FLIPPED,,2360,MED,-48,edge,0,2101,FLIPPED,LOW,2,PIN
72723978,4c65af10-f23b-11f0-8900-8bd481ce9a44,Kay Bee Mobile Villa MHP,16131/296,80,16131,296,NOT FLIPPED,,5998,MED,380,edge,1701,822,NOT FLIPPED,LOW,1,PIN
79462832,ef8a5140-39d6-11f1-b198-172a4a9f25c9,Kay Bee Mobile Villa MHP,16131/296,63,16185,314,FLIPPED,FLIPPED,6000,MED,7,edge,5,5701,FLIPPED,LOW,,ATTR-OK
75368058,7ac37ef0-f23b-11f0-8900-8bd481ce9a44,Kay Bee Mobile Villa MHP,16131/296,91,16131,296,NOT FLIPPED,,6000,MED,40,edge,5182,2,NOT FLIPPED,LOW,1,PIN
75361673,7af91870-f23c-11f0-8900-8bd481ce9a44,Kay Bee Mobile Villa MHP,16131/296,85,16165,302,FLIPPED,,0,,,,0,0,,NO-DRAWS,,REPORTED-ONLY
79461289,ad479870-3a93-11f1-b198-172a4a9f25c9,Kay Bee Mobile Villa MHP,16131/296,56,16131,296,FLIPPED,,6000,MED,-25,edge,0,5216,FLIPPED,LOW,2,PIN
79461065,b2302820-3a93-11f1-b198-172a4a9f25c9,Kay Bee Mobile Villa MHP,16131/296,50,16131,296,FLIPPED,,6000,MED,1,edge,0,5633,FLIPPED,LOW,2,PIN
79463145,b3c5e350-3a93-11f1-b198-172a4a9f25c9,Kay Bee Mobile Villa MHP,16131/296,57,16131,296,FLIPPED,,6000,MED,35,edge,1,5590,FLIPPED,LOW,2,PIN
75360709,406541b0-f23d-11f0-8900-8bd481ce9a44,Kay Bee Mobile Villa MHP,16131/296,87,16131,296,NOT FLIPPED,,6000,MED,-98,edge,5633,1,NOT FLIPPED,LOW,1,PIN
79463111,f21178a0-3a97-11f1-b198-172a4a9f25c9,Kay Bee Mobile Villa MHP,16131/296,46,16131,296,FLIPPED,,6000,MED,-67,edge,0,5846,FLIPPED,LOW,2,PIN
70260599,7ff45740-62a9-11f0-8658-7f4e94e41769,Kay Bee Mobile Villa MHP,16131/296,78,16131,296,FLIPPED,,5993,MED,-42,edge,0,4821,FLIPPED,LOW,2,PIN
72389883,544bfb00-8385-11f0-8b4a-0d0197d44616,Kay Bee Mobile Villa MHP,16131/296,99,16131,296,FLIPPED,,3706,MED,66,edge,7,3205,FLIPPED,LOW,2,PIN
