serial,device_id,property,pipe,gain,upamp,fwVer,fwVerTi,offset,risk
75373124,03b41b30-f65a-11f0-b153-63024d3301e1,Hydetown Mobile Estates,X 3/4,25,1427,16131,296,-896,HIGH
79464762,25baebe0-86ac-11f1-a1a6-391af391818e,Virginia Beach,X 3/4,26,1423,17037,344,1342,HIGH
70268089,d2438da0-61db-11f0-8658-7f4e94e41769,Mena Estates MHC,X 3/4,26,1422,17037,344,-522,HIGH
79465835,43022f70-39d5-11f1-b198-172a4a9f25c9,Rustic Acres MHC,X 3/4,29,1420,17040,354,-874,HIGH
75366193,d416ff20-3e87-11f1-b39d-b550dfb4ab8b,J&L MHP,X 3/4,26,1408,17037,344,-6251,HIGH
75363448,2f2eeb00-0c35-11f1-8768-5551e7a34f27,Noble Estates MHC,X 3/4,29,1403,17037,344,-4831,HIGH
75364420,b105e690-4d37-11f1-b1bb-f3574cce671d,Grand Valley Estates MHC,X 3/4,29,1396,17037,344,-5650,watch
75367100,c54b0060-545b-11f1-b1bb-f3574cce671d,Shady Lane MHP,X 3/4,29,1395,17058,365,2020,watch
79455422,e9921c60-545b-11f1-b1bb-f3574cce671d,Shady Lane MHP,X 3/4,29,1392,17058,365,135,watch
79465447,419dba40-65c3-11f1-9333-3b2cfe68422f,Kay Lou MHC,P 3/4,26,1391,17037,344,-1361,watch
75370096,96dd46a0-4d37-11f1-b1bb-f3574cce671d,Grand Valley Estates MHC,X 3/4,29,1387,17037,344,-10095,watch
79455091,72a5d5e0-4b25-11f1-bc16-b52012ce6db2,Grand Valley Estates MHC,X 3/4,29,1382,17037,344,3481,watch
77055467,cf8fbbf0-2609-11f0-8272-45e3ef110760,Chickadee Lane MHC,X 3/4,25,1381,16131,296,-3072,watch
77058669,aed2d970-3d05-11f0-8e55-b138a1c03c8e,Kingsbrook MHC,X 3/4,25,1365,16131,296,-1536,watch
65831615,61c98f10-b97b-11ef-8f43-73c96c0de66f,Mena Estates MHC,X 3/4,20,1364,16185,314,2816,watch
75364602,7ad529f0-4b16-11f1-bc16-b52012ce6db2,Grand Valley Estates MHC,X 3/4,26,1363,17037,344,-1063,watch
75367365,14f5b3b0-4d38-11f1-b1bb-f3574cce671d,Grand Valley Estates MHC,X 3/4,29,1358,17037,344,622,watch
70268832,fff79f50-6133-11f0-9fcd-87e94e720126,Shady Lane MHP,X 3/4,23,1355,17058,365,0,watch
72382581,daef0c20-84e2-11f0-8b4a-0d0197d44616,Oak Forest Estate MHC,X 3/4,26,1354,17037,344,898,watch
75368140,7740bac0-4b25-11f1-bc16-b52012ce6db2,Grand Valley Estates MHC,X 3/4,26,1353,17037,344,-2412,watch
70272610,c599c930-9f9c-11f0-b5af-5dfa9891b485,Rustic Acres MHC,X 3/4,26,1351,17037,344,-919,watch
75372522,1ff21320-0c3e-11f1-8768-5551e7a34f27,Hydetown Mobile Estates,X 3/4,26,1348,17037,344,-238,watch
75372639,30460050-0c35-11f1-8768-5551e7a34f27,Big Country Mobile Home & RV Park,X 3/4,26,1347,17037,344,1099,watch
77053223,c7ba30f0-4151-11f0-8e55-b138a1c03c8e,Lafountaine MHC,P 3/4,25,1343,16131,296,512,watch
72385113,82069da0-84a4-11f0-8b4a-0d0197d44616,Chickadee Lane MHC,X 3/4,26,1340,17037,344,-2437,watch
75367589,76eea3f0-4d66-11f1-b1bb-f3574cce671d,Virginia Beach,X 3/4,29,1338,17037,344,3990,watch
72718721,3c25e000-c81c-11f0-9842-6d029661c338,Riverview Apartments MF,X 3/4,26,1333,17037,344,2411,watch
75370427,113b64c0-f65a-11f0-b153-63024d3301e1,Hydetown Mobile Estates,X 3/4,29,1322,17037,344,1615,watch
79461602,f111b490-39d6-11f1-b198-172a4a9f25c9,Virginia Beach,X 3/4,26,1315,17037,344,3539,watch
77061887,85d4f280-3d0d-11f0-8e55-b138a1c03c8e,Kingsbrook MHC,X 3/4,25,1312,16131,296,384,watch
72388117,c4e0c970-98f9-11f0-b5af-5dfa9891b485,Virginia Beach,X 3/4,26,1307,17037,344,-2965,watch
77057984,462d6760-26a7-11f0-8272-45e3ef110760,Aurora MHC,X 3/4,26,1295,17037,344,-710,watch
75362457,fb7ba340-4d37-11f1-b1bb-f3574cce671d,Grand Valley Estates MHC,X 3/4,29,1289,17037,344,-2562,watch
75371276,08eb9440-4d38-11f1-b1bb-f3574cce671d,Grand Valley Estates MHC,X 3/4,26,1282,17037,344,-3337,watch
72714498,155bd990-0c3f-11f1-8768-5551e7a34f27,Noble Estates MHC,X 3/4,26,1279,17037,344,-4228,watch
72724398,3453d480-0c42-11f1-8768-5551e7a34f27,Tuttle Estates MHC,X 3/4,26,1278,17037,344,-1471,watch
72716782,e2466320-0c40-11f1-8768-5551e7a34f27,Hydetown Mobile Estates,X 3/4,28,1278,17040,354,4559,watch
77061978,783522e0-269b-11f0-8272-45e3ef110760,Parkview MHP,X 3/4,26,1277,17037,344,1698,watch
72390899,f5e55ca0-837f-11f0-8b4a-0d0197d44616,Virginia Beach,X 3/4,26,1264,17037,344,2325,watch
72390527,a1f650f0-84a5-11f0-8b4a-0d0197d44616,Parkview MHP,X 3/4,29,1263,17037,344,3758,watch
79462329,0fa87880-4d69-11f1-b1bb-f3574cce671d,Oakwood MHP,X 3/4,29,1255,17037,344,1320,watch
72390568,84f454e0-9a33-11f0-b5af-5dfa9891b485,Virginia Beach,X 3/4,29,1247,17037,344,0,watch
79463533,1bc2e390-86ac-11f1-a1a6-391af391818e,Virginia Beach,X 3/4,29,1246,17037,344,-2072,watch
79456966,c843a1d0-6c13-11f1-9333-3b2cfe68422f,Grand Valley Estates MHC,X 3/4,29,1245,17037,344,4660,watch
77060988,7136ab80-269b-11f0-8272-45e3ef110760,Aurora MHC,X 3/4,26,1238,17037,344,5384,watch
70264286,8b551840-524b-11f0-acb1-514e01860b07,Aurora MHC,X 3/4,25,1236,16131,296,512,watch
65824867,b32b2b20-c795-11ef-8f43-73c96c0de66f,Minot Gardens MHC,X 3/4,26,1232,17037,344,-1012,watch
70273063,d08d4e60-db7a-11f0-b691-d965a62fa4fa,Wyse Eval,X 3/4,29,1223,17057,365,5088,watch
75371870,2b7facd0-48c9-11f1-bc16-b52012ce6db2,Grand Valley Estates MHC,X 3/4,26,1220,17037,344,1038,watch
75369015,78798580-4d6d-11f1-b1bb-f3574cce671d,Virginia Beach,X 3/4,26,1214,17037,344,-926,watch
79466270,4eb15da0-39d5-11f1-b198-172a4a9f25c9,Rustic Acres MHC,X 3/4,26,1205,17037,344,2984,watch
70269913,a0efec70-66b4-11f0-8658-7f4e94e41769,Oakwood MHP,X 3/4,26,1204,17037,344,-1248,watch
75372035,b6bd1ee0-6025-11f1-89ca-a986714faa23,The O in La Marque,X 3/4,29,1204,17037,344,-1708,watch
75374726,28d60ce0-4d38-11f1-b1bb-f3574cce671d,Grand Valley Estates MHC,X 3/4,26,1203,17037,344,93,watch
79463277,67d87d00-4d66-11f1-b1bb-f3574cce671d,Kingsbrook MHC,X 3/4,25,1203,16131,296,-1920,watch
72721154,90ddd990-c7bd-11f0-9842-6d029661c338,Riverview Apartments MF,P 3/4,29,1202,17037,344,-870,watch
