group,device,fwVer,sessions,completed,hung_est,days_with_records_of_7,rsrp_med
Woodland Heights MHC,Device 79458848,17037,11,10,0,7,-105.0
Woodland Heights MHC,Device 79465355,17037,7,6,0,7,-112.0
Woodland Heights MHC,Device 79453617,17037,7,6,0,7,-111.0
Woodland Heights MHC,Device 79464937,17037,7,6,0,7,-85.0
Woodland Heights MHC,Device 79464309,17037,9,8,0,6,-101.0
Woodland Heights MHC,Device 79454235,17037,7,6,0,7,-111.0
Woodland Heights MHC,Device 79454086,17037,4,3,0,5,-84.0
Woodland Heights MHC,Device 79453872,17037,7,6,0,4,-103.0
Woodland Heights MHC,Device 79458905,17037,7,6,0,7,-109.0
Woodland Heights MHC,Device 79464770,17037,7,6,0,7,-104.0
Woodland Heights MHC,Device 79464705,17037,6,6,0,7,-113.0
Woodland Heights MHC,Device 79463673,17037,10,9,0,6,-101.0
Woodland Heights MHC,Device 79458798,17037,7,6,0,7,-105.0
Woodland Heights MHC,Device 79454771,17037,7,6,0,7,-87.0
Woodland Heights MHC,Device 79459440,17037,8,7,0,0,-99.0
Woodland Heights MHC,Device 79463616,17037,4,3,0,4,-89.0
Woodland Heights MHC,Device 75487346,17037,7,6,0,6,-74.0
Woodland Heights MHC,Device 79457493,17037,7,6,0,1,-77.0
Woodland Heights MHC,Device 79463798,17037,7,6,0,0,-86.0
Woodland Heights MHC,Device 79463707,17037,7,6,0,0,-86.0
Woodland Heights MHC,Device 79465629,17037,8,7,0,7,-82.0
Woodland Heights MHC,Device 79458830,17037,8,8,0,7,-82.0
Woodland Heights MHC,Device 75468478,17037,7,6,0,7,-85.0
Woodland Heights MHC,Device 79463756,17037,10,8,1,7,-79.0
Woodland Heights MHC,Device 75495539,17037,7,6,0,7,-86.0
Woodland Heights MHC,Device 75500429,17037,16,15,0,7,-78.0
Woodland Heights MHC,Device 75465391,17037,7,6,0,7,-95.0
Woodland Heights MHC,Device 79453492,17037,7,6,0,7,-85.0
Woodland Heights MHC,Device 79459622,17037,7,6,0,7,-95.0
Woodland Heights MHC,Device 79457592,17037,8,6,1,7,-77.0
Woodland Heights MHC,Device 79455844,17037,9,8,0,7,-85.0
Woodland Heights MHC,Device 79464234,17037,10,7,2,5,-83.0
Woodland Heights MHC,Device 79467708,17037,12,12,0,7,-126.0
Woodland Heights MHC,Device 79456537,17037,7,6,0,7,-94.0
Woodland Heights MHC,Device 79462410,17037,7,6,0,0,-82.0
Woodland Heights MHC,Device 79453823,17037,8,6,1,1,-77.0
Woodland Heights MHC,Device 75370575,17037,8,7,0,7,-87.0
Woodland Heights MHC,Device 72389396,17037,7,6,0,7,-78.0
Round Lake MHP,Device 75374239,15154,9,8,0,7,-106.0
Round Lake MHP,Device 75364818,15154,7,6,0,7,-110.0
Round Lake MHP,Device 75360808,15154,7,6,0,7,-109.0
Round Lake MHP,Device 75374064,15154,10,10,0,7,-113.0
Round Lake MHP,Device 75367340,15154,16,15,0,7,-115.0
Round Lake MHP,Device 72719372,15154,8,7,0,7,-110.0
Round Lake MHP,Device 75371748,15154,9,8,0,7,-102.0
Round Lake MHP,Device 75372902,15154,7,6,0,7,-98.0
Round Lake MHP,Device 75369940,15154,9,8,0,7,-104.0
Round Lake MHP,Device 75374957,17037,7,6,0,0,-113.0
Round Lake MHP,Device 72723796,15154,6,6,0,7,-109.0
Round Lake MHP,Device 75362077,15154,6,5,0,6,-104.0
Round Lake MHP,Device 75361517,15154,6,6,0,7,-105.0
Round Lake MHP,Device 72723242,15154,14,14,0,7,-118.0
Round Lake MHP,Device 72723374,15154,8,7,0,7,-105.0
Round Lake MHP,Device 75371052,15154,7,6,0,7,-113.0
Round Lake MHP,Device 72723770,15154,8,7,0,7,-108.0
Round Lake MHP,Device 75360493,15154,6,5,0,0,-115.0
Round Lake MHP,Device 72723606,15154,6,5,0,6,-105.0
Round Lake MHP,Device 75363760,15154,6,5,0,6,-112.0
Round Lake MHP,Device 75367191,15154,6,5,0,6,-113.0
Round Lake MHP,Device 75367787,15154,7,6,0,6,-117.0
Round Lake MHP,Device 75366649,15154,7,6,0,7,-111.0
Round Lake MHP,Device 75373496,15154,7,6,0,7,-122.0
Round Lake MHP,Device 72719836,15154,8,7,0,7,-110.0
Round Lake MHP,Device 75372605,15154,10,9,0,7,-112.0
Round Lake MHP,Device 75363257,15154,7,6,0,5,-118.0
Round Lake MHP,Device 75373462,15154,7,6,0,6,-113.0
Round Lake MHP,Device 75369817,15154,13,12,0,7,-106.0
Round Lake MHP,Device 72719059,15154,8,7,0,7,-110.0
Round Lake MHP,Device 75372480,15154,7,6,0,7,-113.0
Round Lake MHP,Device 75372241,15154,9,8,0,7,-111.0
Round Lake MHP,Device 75362986,15154,8,7,0,6,-114.0
Round Lake MHP,Device 75370013,15154,7,6,0,7,-108.0
Round Lake MHP,Device 75360279,15154,10,11,0,0,-118.0
Round Lake MHP,Device 75364941,15154,7,6,0,7,-109.0
Round Lake MHP,Device 75363679,15154,8,7,0,6,-104.0
Round Lake MHP,Device 75368637,15154,7,6,0,7,-104.0
Round Lake MHP,Device 75369759,15154,7,7,0,1,-119.0
Round Lake MHP,Device 75373116,15154,13,14,0,6,-115.0
Round Lake MHP,Device 75369395,15154,8,8,0,6,-116.0
Round Lake MHP,Device 75363935,15154,7,6,0,7,-115.0
Round Lake MHP,Device 75371961,15154,7,6,0,7,-107.0
Round Lake MHP,Device 75372597,15154,9,8,0,7,-114.0
Round Lake MHP,Device 75364461,15154,10,9,0,7,-115.0
Round Lake MHP,Device 75370732,15154,18,18,0,7,-114.0
Round Lake MHP,Device 75372399,15154,10,9,0,6,-114.0
Round Lake MHP,Device 75362218,15154,8,7,0,7,-106.0
Round Lake MHP,Device 72723879,15154,8,7,0,6,-113.0
Round Lake MHP,Device 75363943,15154,16,16,0,6,-116.0
Round Lake MHP,Device 75370294,15154,10,9,0,7,-113.0
Round Lake MHP,Device 75372498,15154,7,6,0,7,-115.0
Round Lake MHP,Device 75364347,15154,6,5,0,6,-112.0
Round Lake MHP,Device 75362796,15154,7,6,0,6,-121.0
Round Lake MHP,Device 75361004,15154,10,9,0,7,-111.0
Round Lake MHP,Device 75365047,15154,8,7,0,7,-107.0
Round Lake MHP,Device 75363604,15154,11,10,0,7,-110.0
Round Lake MHP,Device 75369619,15154,7,6,0,6,-114.0
Round Lake MHP,Device 75374163,15154,9,8,0,7,-104.0
Round Lake MHP,Device 72713797,15154,8,7,0,7,-111.0
Round Lake MHP,Device 75361343,15154,8,7,0,7,-108.0
Round Lake MHP,Device 75363893,15154,7,6,0,7,-114.0
Round Lake MHP,Device 75369957,15154,9,10,0,1,-119.0
Shirlee's MHP,Device 79455810,17032,7,6,0,7,-99.0
Shirlee's MHP,Device 79464465,17032,7,6,0,4,-116.0
Shirlee's MHP,Device 79455703,17032,11,10,0,7,-105.0
Shirlee's MHP,Device 75505691,17032,7,6,0,7,-106.0
Shirlee's MHP,Device 79466676,17032,4,3,0,0,-123.0
Shirlee's MHP,Device 79464424,17032,7,6,0,6,-107.0
Shirlee's MHP,Device 79456016,17037,6,6,0,2,-110.0
Shirlee's MHP,Device 79455877,17032,9,8,0,6,-116.0
Shirlee's MHP,Device 79455752,17032,7,6,0,7,-110.0
Shirlee's MHP,Device 79459473,17032,8,6,1,0,-113.0
Shirlee's MHP,Device 79467435,17032,7,6,0,6,-107.0
